111,2022-01-01,Daily Rental Fee,1011,60,9,69
112,2022-01-02,Weekly Rental Fee,1202,300,45,345
113,2022-01-03,Monthly Stand Fee,1304,175,26.25,201.25
114,2022-01-04,Daily Rental Fee,1412,60,9,69
115,2022-01-05,Weekly Rental Fee,1623,300,45,345
116,2022-01-06,Monthly Stand Fee,1325,175,26.25,201.25
117,2022-01-07,Daily Rental Fee,1546,60,9,69
118,2022-01-08,Weekly Rental Fee,1737,300,45,345
119,2022-01-09,Monthly Stand Fee,1848,175,26.25,201.25
120,2022-01-10,Daily Rental Fee,1254,60,9,69
121,2022-01-11,Weekly Rental Fee,1765,300,45,345
122,2022-01-12,Monthly Stand Fee,1921,175,26.25,201.25
123,2022-01-13,Daily Rental Fee,1045,60,9,69
124,2022-01-14,Weekly Rental Fee,1156,300,45,345
125,2022-01-15,Monthly Stand Fee,1267,175,26.25,201.25
126,2022-01-16,Daily Rental Fee,1378,60,9,69
127,2022-01-17,Weekly Rental Fee,1489,300,45,345
128,2022-01-18,Monthly Stand Fee,1590,175,26.25,201.25
129,2022-01-19,Daily Rental Fee,1201,60,9,69
130,2022-01-20,Weekly Rental Fee,1322,300,45,345
131,2022-01-21,Monthly Stand Fee,1433,175,26.25,201.25
132,2022-01-22,Daily Rental Fee,1544,60,9,69
133,2022-01-23,Weekly Rental Fee,1655,300,45,345
134,2022-01-24,Monthly Stand Fee,1766,175,26.25,201.25
135,2022-01-25,Daily Rental Fee,1877,60,9,69
136,2022-01-26,Weekly Rental Fee,1988,300,45,345
137,2022-01-27,Monthly Stand Fee,1100,175,26.25,201.25
138,2022-01-28,Daily Rental Fee,1211,60,9,69
139,2022-01-29,Weekly Rental Fee,1323,300,45,345
140,2022-01-30,Monthly Stand Fee,1434,175,26.25,201.25
