84,2022-02-15,1910,Oil Change,60,9,69
85,2022-03-01,1911,Tire Change,80,12,92
86,2022-03-11,1918,Engine Tune-Up,150,22.5,172.5
89,2022-05-20,1912,Brake Inspection,100,15,115
92,2022-05-29,1919,Tire Rotation,40,6,46
94,2022-07-13,1910,Engine Tune-Up,150,22.5,172.5
95,2022-08-14,1920,Replace Battery,120,18,138
96,2022-08-25,1913,Car Wash,20,3,23
98,2022-09-05,1911,Tire Rotation,40,6,46
102,2022-10-30,1921,Wheel Alignment,70,10.5,80.5
103,2022-11-10,1914,Engine Tune-Up,150,22.5,172.5
104,2022-11-22,1912,Replace Battery,120,18,138
107,2023-01-15,1910,Oil Change,60,9,69
108,2023-01-18,1915,Tire Rotation,40,6,46
109,2023-02-01,1913,Wheel Alignment,70,10.5,80.5
112,2023-04-02,1911,Tire Change,80,12,92
113,2023-04-04,1916,Replace Battery,120,18,138
115,2023-05-16,1914,Oil Change,60,9,69
118,2023-07-09,1917,Wheel Alignment,70,10.5,80.5
119,2023-07-18,1912,Brake Inspection,100,15,115
121,2023-08-08,1915,Tire Change,80,12,92
125,2023-10-22,1918,Oil Change,60,9,69
126,2023-10-25,1913,Car Wash,20,3,23
127,2023-11-03,1916,Brake Inspection,100,15,115
129,2023-12-30,1919,Tire Change,80,12,92
130,2024-01-06,1914,Engine Tune-Up,150,22.5,172.5
132,2024-01-21,1917,Car Wash,20,3,23
134,2024-02-14,1920,Brake Inspection,100,15,115
135,2024-03-23,1915,Tire Rotation,40,6,46
138,2024-04-28,1921,Car Wash,20,3,23
